git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc
4213,HT,2020,2,1,0,0,0,0,2,10745665,0.00039206507926684855
3962,YE,2020,2,0,0,0,0,0,2,25956000,0.00015264293419633225
3937,BN,2020,2,1,0,0,0,0,2,393372,0.01000833816336699
3776,BB,2020,2,1,0,0,0,0,2,285000,0.013249122807017543
3641,NC,2020,2,0,0,0,0,0,2,268767,0.01354705004706679
3557,LY,2020,2,0,0,0,0,0,2,6253000,0.0005688469534623381
2720,MW,2020,2,1,0,0,0,0,2,15805239,0.0001720948351366278
2643,TG,2020,2,1,0,0,0,0,2,6993000,0.00037794937794937794
2624,AF,2020,2,0,0,0,0,0,2,26023100,0.00010083349024520522
2449,BW,2020,2,1,0,0,0,0,2,2024904,0.0012094400524666849
2384,CV,2020,2,1,0,0,0,0,2,518467,0.004598171146861806
1993,SO,2020,2,0,0,0,0,0,2,10806000,0.0001844345733851564
1614,BF,2020,2,1,0,0,0,0,2,17322796,9.31720260401381e-05
1115,SL,2020,2,1,0,0,0,0,2,6205000,0.00017969379532634973
22384454,US,2020,3,1,0,0,0,0,3,319259000,0.07011377596246308
7832236,IN,2020,3,1,0,0,0,0,3,1263930000,0.006196732413978622
5590189,CN,2020,3,0,0,0,0,0,3,1367110000,0.004089055745331392
3872270,GB,2020,3,1,0,0,0,0,3,64105654,0.060404500358111936
3746932,BR,2020,3,1,0,0,0,0,3,203586000,0.018404664367883843
3666680,DE,2020,3,1,0,0,0,0,3,80783000,0.045389252689303446
2959671,RU,2020,3,0,0,0,0,0,3,146233000,0.020239419282925195
2936818,JP,2020,3,1,0,0,0,0,3,127080000,0.02310999370475291
2845292,KR,2020,3,1,0,0,0,0,3,50423955,0.05642738654673161
2788392,CA,2020,3,1,0,0,0,0,3,35540419,0.07845692533900628
2422580,FR,2020,3,1,0,0,0,0,3,66078000,0.036662429250279974
1404830,AU,2020,3,1,0,0,0,0,3,23696900,0.059283281779473264
1265334,UA,2020,3,1,0,0,0,0,3,42973696,0.02944438383889531
1239749,NL,2020,3,1,0,0,0,0,3,16881000,0.07344049523132516
1221564,PL,2020,3,1,0,0,0,0,3,38496000,0.0317322319201995
1204481,ES,2020,3,1,0,0,0,0,3,46507760,0.0258984952188624
1171000,HK,2020,3,0,0,0,0,0,3,7234800,0.16185658207552386
1035274,ID,2020,3,1,0,0,0,0,3,252164800,0.004105545262463278
966644,VN,2020,3,0,0,0,0,0,3,89708900,0.010775341131147522
884805,IT,2020,3,1,0,0,0,0,3,60769102,0.014560113131176432
792458,TW,2020,3,1,0,0,0,0,3,23424615,0.03383013979098483
775557,AR,2020,3,1,0,0,0,0,3,42669500,0.018175910193463714
737130,SG,2020,3,1,0,0,0,0,3,5469700,0.13476607492184214
735087,CO,2020,3,1,0,0,0,0,3,47907800,0.015343785354368183
732946,SE,2020,3,1,0,0,0,0,3,9737521,0.07527028696523479
731235,MX,2020,3,1,0,0,0,0,3,119713203,0.006108223501462909
687414,CH,2020,3,1,0,0,0,0,3,8183800,0.08399692074586378
663086,IL,2020,3,1,0,0,0,0,3,8268400,0.08019520100624063
535913,TR,2020,3,1,0,0,0,0,3,76667864,0.006990060398708904
506514,BD,2020,3,1,0,0,0,0,3,157486000,0.0032162477934546563
474316,BE,2020,3,1,0,0,0,0,3,11225469,0.042253557512830865
458880,CZ,2020,3,1,0,0,0,0,3,10521600,0.043613138686131384
448717,NG,2020,3,1,0,0,0,0,3,178517000,0.002513581339592308
448652,NO,2020,3,1,0,0,0,0,3,5156450,0.08700792211696032
400280,BY,2020,3,0,0,0,0,0,3,9475100,0.042245464427816064
387036,FI,2020,3,1,0,0,0,0,3,5470437,0.07075047203724309
380776,PK,2020,3,1,0,0,0,0,3,188410000,0.0020209967623799163
367946,PH,2020,3,1,0,0,0,0,3,100697400,0.003653977163263401
354792,AT,2020,3,1,0,0,0,0,3,8527230,0.04160694621817401
353450,NZ,2020,3,1,0,0,0,0,3,4547900,0.07771718815277381
340788,DK,2020,3,1,0,0,0,0,3,5655750,0.060255138575785704
338525,TH,2020,3,1,0,0,0,0,3,64871000,0.00521843350649751
336588,RO,2020,3,1,0,0,0,0,3,19942642,0.016877803853671946
330957,PT,2020,3,1,0,0,0,0,3,10477800,0.03158649716543549
321162,IE,2020,3,1,0,0,0,0,3,6378000,0.050354656632173096
297816,ZA,2020,3,1,0,0,0,0,3,54002000,0.005514906855301656
290492,EG,2020,3,0,0,0,0,0,3,87668100,0.003313542782380364
283817,CL,2020,3,1,0,0,0,0,3,17819054,0.01592772545613252
271434,HU,2020,3,1,0,0,0,0,3,9879000,0.027475857880352263
245553,KE,2020,3,1,0,0,0,0,3,41800000,0.005874473684210527
233350,PE,2020,3,1,0,0,0,0,3,30814175,0.007572813486001167
227244,MY,2020,3,1,0,0,0,0,3,30430500,0.007467639374969192
217897,BG,2020,3,1,0,0,0,0,3,7245677,0.030072690239987238
212253,GR,2020,3,1,0,0,0,0,3,10992589,0.019308736094836257
194379,LK,2020,3,1,0,0,0,0,3,20277597,0.009585899157577696
190556,IR,2020,3,0,0,0,0,0,3,77966400,0.002444078474830183
172553,NP,2020,3,1,0,0,0,0,3,27646053,0.006241505794696986
164226,RS,2020,3,1,0,0,0,0,3,7186862,0.02285086314444329
141446,EC,2020,3,1,0,0,0,0,3,15888900,0.008902189578888406
112878,CR,2020,3,1,0,0,0,0,3,4713168,0.023949496389689483
111369,TN,2020,3,1,0,0,0,0,3,10982754,0.010140352774905092
108717,SA,2020,3,1,0,0,0,0,3,30770375,0.0035331711101993396
108299,HR,2020,3,1,0,0,0,0,3,4267558,0.025377276653299148
107202,LT,2020,3,1,0,0,0,0,3,2927310,0.03662133494573516
106008,AE,2020,3,1,0,0,0,0,3,9446000,0.011222528054202837
104045,KZ,2020,3,1,0,0,0,0,3,17377800,0.005987236589211522
101540,MA,2020,3,1,0,0,0,0,3,33465000,0.003034214851337218
99390,VE,2020,3,0,0,0,0,0,3,30206307,0.003290372437782613
95824,SK,2020,3,1,0,0,0,0,3,5415949,0.01769292879235015
93841,UY,2020,3,1,0,0,0,0,3,3404189,0.02756633077658144
93315,EE,2020,3,1,0,0,0,0,3,1315819,0.07091780860437492
